stationId,KASTEPISTE,KESKITUULI,ILMAN_KOSTEUS,SADE,SADESUMMA,SATEEN_OLOMUOTO_PWDXX,TURVALLISUUSLÄMPÖ_1,ILMAN_LÄMPÖTILA_24H_MIN,ILMAN_LÄMPÖTILA_24H_MAX,LUMEN_SYVYYS,KELI_1,KELI_2,KELI_3,KELI_4,VEDEN_MÄÄRÄ1,VEDEN_MÄÄRÄ2,LUMEN_MÄÄRÄ1,LUMEN_MÄÄRÄ2,JÄÄN_MÄÄRÄ1,JÄÄN_MÄÄRÄ2,JÄÄTAAJUUS_1,JÄÄTAAJUUS_2,KUURAPISTE,KUURAPISTE_ERO_ILMA,KUURAPISTE_ERO_TIE,KITKA1,KITKA1_LUKU,KITKA2,KITKA2_LUKU,SADESUMMA_LIUKUVA_24H,KOSTEUDEN_MÄÄRÄ_1,VALLITSEVA_SÄÄ,SADE_desc,SATEEN_OLOMUOTO_PWDXX_desc,KELI_1_desc,KELI_2_desc
1001.0,0.7,1.4,85.0,0.0,0.0,7.0,-1.6,-4.6,3.6,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,,0.7,2.3,3.9,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Probably moist and salty,The sensor has a fault
1002.0,0.2,4.1,91.0,0.0,0.0,7.0,,-2.2,2.8,0.0,0.0,2.0,,,0.06,0.01,0.0,0.0,0.0,0.0,,112.0,0.2,1.3,-39.0,0.81,0.81,0.82,0.82,0.0,,0.0,Dry weather,Dry weather,The sensor has a fault,Moist
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004.0,-0.3,2.9,82.0,0.0,0.0,7.0,-0.3,-3.9,3.2,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,420.0,425.0,-0.2,2.8,6.5,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1005.0,0.2,4.1,85.0,0.0,0.0,7.0,0.0,-5.1,3.4,0.0,1.0,1.0,2.0,0.0,0.0,,0.0,,0.0,,409.0,422.0,0.2,2.4,6.1,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1006.0,-0.7,2.4,80.0,0.0,0.0,7.0,-0.5,-4.4,4.4,0.0,1.0,1.0,,,0.0,0.03,0.0,0.0,0.0,0.0,372.0,412.0,-0.6,3.0,5.7,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1009.0,-0.4,3.4,82.0,0.0,0.0,7.0,-0.2,-4.3,3.1,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,412.0,110.0,-0.4,2.8,6.6,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1010.0,-0.9,2.6,80.0,0.0,0.0,7.0,-0.1,-4.3,3.3,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,110.0,107.0,-0.8,3.0,5.5,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1011.0,-0.1,2.9,84.0,0.0,0.0,7.0,0.0,-4.5,3.9,0.0,1.0,0.0,,,0.14,0.0,0.0,0.0,0.0,0.0,490.0,,-0.1,2.4,7.6,0.78,0.78,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,The sensor has a fault
1012.0,0.0,1.7,84.0,0.0,0.0,7.0,,-3.9,3.8,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,455.0,0.0,2.5,,0.82,0.82,0.82,0.82,0.0,,0.0,Dry weather,Dry weather,The sensor has a fault,Dry
1013.0,0.3,4.2,90.0,0.0,0.0,7.0,0.0,-4.4,4.4,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,435.0,432.0,0.3,1.5,5.5,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1014.0,2.3,3.6,98.0,0.0,0.0,7.0,-1.3,-2.6,5.0,0.0,1.0,1.0,,,0.01,,0.0,,0.0,,110.0,115.0,2.3,0.3,3.4,0.82,0.82,,,0.0,0.0,10.0,Dry weather,Dry weather,Dry,Dry
1015.0,1.1,2.1,93.0,0.0,0.0,7.0,-0.2,-3.7,4.6,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,377.0,410.0,1.1,1.1,4.8,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1016.0,0.9,3.2,87.0,0.0,0.0,7.0,-0.4,-4.7,3.6,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,400.0,395.0,0.9,2.0,5.3,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1018.0,-0.1,3.5,84.0,0.0,0.0,7.0,-0.1,-6.1,2.5,0.0,1.0,,,,0.0,,0.0,,0.0,,397.0,,-0.1,2.5,4.9,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
1019.0,0.3,2.4,85.0,0.0,0.0,7.0,-0.1,-4.4,3.9,0.0,1.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,400.0,115.0,0.3,2.4,7.6,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Moist
1020.0,-0.5,5.0,81.0,0.0,0.0,7.0,-0.2,-4.3,2.3,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,115.0,-0.5,2.8,6.7,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Moist
1021.0,-0.5,1.5,83.0,0.0,0.0,7.0,-0.1,-4.4,3.5,0.0,1.0,,,,0.0,,0.0,,0.0,,401.0,,-0.5,2.6,6.4,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,
1022.0,0.0,2.1,88.0,0.0,0.0,7.0,-0.9,-4.3,4.3,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,417.0,0.0,1.8,6.5,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1030.0,0.4,2.5,85.0,0.0,0.0,7.0,-0.2,-3.9,3.1,0.0,2.0,2.0,,,,,,,,,109.0,112.0,0.4,2.4,5.8,,,,,0.0,0.02,23.0,Dry weather,Dry weather,Moist,Moist
1032.0,0.5,4.2,84.0,0.0,0.0,7.0,0.0,-4.1,2.9,0.0,3.0,3.0,,,,,,,,,109.0,115.0,0.5,2.4,4.2,,,,,0.0,0.04,23.0,Dry weather,Dry weather,Wet,Wet
1034.0,-0.1,1.7,84.0,0.0,0.0,7.0,-0.9,-3.6,2.9,0.0,8.0,1.0,1.0,1.0,,0.0,,0.0,,0.0,110.0,287.0,-0.1,2.5,5.3,,,0.82,0.82,0.0,0.01,0.0,Dry weather,Dry weather,Probably moist and salty,Dry
1035.0,-0.2,4.0,84.0,0.0,0.0,7.0,0.0,-4.4,3.6,0.0,1.0,1.0,,,0.39,0.01,0.0,0.0,0.0,0.0,430.0,425.0,-0.1,2.5,6.7,0.69,0.69,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1036.0,-0.3,2.9,82.0,0.0,0.0,7.0,0.0,-4.7,3.4,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,407.0,117.0,-0.3,2.8,6.7,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1037.0,-0.6,1.6,83.0,0.0,0.0,7.0,-0.9,-4.6,3.5,0.0,1.0,1.0,,,0.0,,0.0,,0.0,,415.0,397.0,-0.5,2.5,5.9,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1041.0,-0.4,2.6,81.0,0.0,0.0,7.0,-0.3,-4.9,3.7,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,410.0,-0.3,2.9,6.4,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
