dew_point,avg_wind,humidity,rain,rain_sum,snow_depth,rain_amount,snow_amount,ice_measure,friction,ice_frequency,mean_temperature,condition
-12.7,5.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,487.0,-8.8,Normal
-10.584339173015243,3.8562241149338656,82.05533945223434,1.155023917493765,2.5706503874439512,0.0,0.010963810632720943,0.1609199201406714,0.0,0.8065574087858347,105.0,-5.204362921583296,Ice
-3.2,2.1,96.0,4.0,2.1,0.0,0.0,0.34,0.11,0.38,112.0,-8.1,Snow
0.4,0.9,98.0,0.0,0.7,0.0,0.02,0.0,0.0,0.82,465.0,4.550000000000001,Rain
-10.154048165568785,1.5495896274015266,86.47802133387249,0.43710998073664553,0.0,0.0,0.180977321630917,0.0,0.26215761489726896,0.6863094898083307,105.0,-2.060633138785943,Ice
-8.5,5.6,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,112.0,-5.5,Normal
-3.6502977335636873,6.2686286781913925,84.7200894054828,1.75132209421115,2.096218203683221,0.0,0.04057280741921261,0.005210122324234484,0.26247842429897483,0.49388127964253836,221.51565264104238,-2.966471930318286,Ice
4.5,1.2,54.0,0.0,0.0,0.0,0.01,0.0,0.0,0.82,105.0,6.15,Rain
3.2,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,420.0,8.9,Normal
-7.9,3.4,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,438.0,-4.05,Normal
-13.4,1.9,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,105.0,-6.95,Ice
-5.756322294857173,4.2915782186992075,100.0,0.0,0.0,0.0,0.1904535658165461,0.1124063574325277,0.12926081607775844,0.6064248345895746,105.0,-8.067727038836697,Ice
3.4,0.3,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,402.0,8.5,Normal
-4.2,2.1,96.0,4.0,1.0,4.0,0.0,0.4,0.15,0.34,112.0,-3.4,Snow
2.9,6.1,77.0,0.0,12.5,0.0,0.21,0.0,0.0,0.74,110.0,1.35,Rain
7.3,1.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,8.299999999999999,Normal
-7.6,5.5,66.0,4.0,0.3,0.0,0.0,0.0,0.0,0.82,432.0,-2.9,Snow
-3.0186949970762518,5.669189630285089,70.1775911542158,0.0,1.5884141439434456,0.0,0.12091655351370993,0.11282357893719744,0.11983165954274126,0.82,105.0,-3.141428922754816,Ice
-14.2,3.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,112.0,-9.75,Normal
-17.6,0.8,45.0,0.0,0.0,0.0,0.0,0.51,0.02,0.38,415.0,-16.3,Normal
-7.3,4.2,67.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,465.0,-1.75,Snow
3.3,1.6,100.0,1.0,6.9,0.0,0.24,0.0,0.0,0.73,112.0,-4.1499999999999995,Rain
5.8,1.3,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,432.0,9.45,Normal
-10.0,3.1,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,422.0,-3.8000000000000003,Snow
2.4,2.4,99.0,0.0,4.3,0.0,0.0,0.0,0.0,0.82,115.0,-4.3500000000000005,Rain
-15.4,2.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,406.0,-6.75,Normal
-12.602181357570093,0.1,94.32878252634978,1.1671989261100373,0.6312906587003441,0.0,0.17635095885889032,0.10503856988909067,0.0,0.22427968931613057,105.0,-4.492145532499824,Ice
-6.5,2.6,73.0,4.0,0.0,0.0,0.01,0.0,0.0,0.82,112.0,-5.05,Snow
-14.2,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,425.0,-6.4,Normal
-3.008918921689901,2.5471081945376,98.06243528512486,3.0210741127516396,0.0,0.0,0.0,0.11393225297359058,0.03263018562083281,0.82,105.0,-1.3463326565100222,Ice
-7.6,5.3,67.0,4.0,0.5,0.0,0.0,0.0,0.0,0.82,422.0,-3.1,Snow
-3.1,2.6,99.0,5.0,4.8,15.0,0.07,0.21,0.38,0.13,112.0,-1.7999999999999998,Snow
-4.229065183875793,5.984275562317908,74.63872597664168,0.0,0.0,0.0,0.0,0.0713212998303019,0.0,0.6016625757629183,105.0,-4.777934742090157,Ice
4.2,4.0,95.0,0.0,0.7,0.0,0.14,0.0,0.0,0.78,115.0,1.5,Rain
-13.9,3.5,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,357.0,-6.6,Rain
-13.6,5.2,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,487.0,-7.55,Normal
-1.7727006665611493,7.019449052466134,100.0,1.9339161266203777,1.3205432254566083,0.0,0.236781444034949,0.16719912374312357,0.19198023956015253,0.398249373843318,173.28897552110718,-1.3,Ice
-1.1,1.2313210797857737,100.0,0.0,1.022365139333047,0.0,0.0,0.13929924028604845,0.15569181506319457,0.5984217596434884,105.0,-4.961826746135519,Ice
-14.8,0.3,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,450.0,-6.7,Normal
-16.9,2.4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,-3.15,Normal
-24.3,0.3,67.0,0.0,0.0,0.0,0.0,0.52,0.02,0.38,420.0,-17.599999999999998,Normal
-15.3,0.3,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,-5.25,Normal
5.3,1.6,100.0,0.0,0.2,0.0,0.1,0.0,0.0,0.8,112.0,1.25,Rain
-15.1,0.4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,420.0,-5.449999999999999,Normal
